,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Champions
882,Nukeduck,MID,7,1,9,16,272,20,0,6.8,15860,395,21.1%,33,17,7,3,0.82,0.42,0.07,0.17,9.1%,23385,1430,18820,3135,582,26.5%,0.4,66.7%,,1,0,0,0,1278,4,500,0,3860,6069,6844,10,15038,LeBlanc
883,UpseT,ADC,8,0,7,Perfect KDA,414,37,4,10.3,20018,499,26.7%,70,19,14,4,1.74,0.47,0.1,0.35,19.4%,27105,23565,1311,2229,675,30.7%,0.37,62.5%,,1,0,0,0,-1161,25,759,0,7173,83,15200,9,6059,Miss Fortune
884,Destiny,SUPPORT,1,6,13,2.3,40,0,1,1,9983,249,13.3%,108,74,15,27,2.69,1.84,0.67,0.37,29.9%,7325,1685,4419,1221,182,8.3%,0.35,58.3%,1,0,0,0,0,304,4,199,1,524,583,30514,48,19467,Nautilus
885,Wunder,TOP,1,4,3,1,288,10,0,7.2,12993,324,20.8%,35,22,2,8,0.87,0.55,0.2,0.05,11.4%,9812,9717,95,0,244,13.4%,0.1,36.4%,,0,0,0,0,-1604,-12,112,0,4052,8936,32247,10,29188,Aatrox
886,Jankos,JUNGLE,2,2,5,3.5,197,103,13,4.9,10979,273,17.5%,58,18,22,15,1.44,0.45,0.37,0.55,18.8%,7546,6676,302,568,188,10.3%,0.17,63.6%,,0,0,0,0,457,9,-87,0,0,10770,17809,16,25886,Pantheon
887,Perkz,MID,2,4,4,1.5,302,20,0,7.5,13240,330,21.2%,54,20,16,9,1.34,0.5,0.22,0.4,17.5%,24039,1628,19759,2652,599,32.7%,0.15,54.5%,,0,0,0,0,-1278,-4,-500,0,586,4333,8450,33,17424,Zoe
888,Caps,ADC,6,7,4,1.4,329,40,0,8.2,17181,428,27.4%,52,14,21,6,1.3,0.35,0.15,0.52,16.9%,27174,19045,6963,1166,677,37%,0.25,90.9%,1,0,0,0,0,1161,-25,-759,0,6352,2825,16607,39,17819,Varus
889,Mikyx,SUPPORT,0,7,8,1.1,35,0,0,0.9,8201,204,13.1%,109,83,14,28,2.71,2.07,0.7,0.35,35.4%,4893,673,4193,27,122,6.7%,0.2,72.7%,,0,0,0,0,-304,-4,-199,-1,750,3434,34464,25,24469,Tahm Kench
890,Alphari,TOP,1,4,10,2.8,227,1,4,5.5,12635,306,17.4%,62,21,8,10,1.5,0.51,0.24,0.19,15.3%,14805,1831,12750,224,359,16.7%,0.27,55%,,0,0,0,0,-670,-12,106,0,142,16931,61154,76,42156,Maokai
891,Xerxe,JUNGLE,6,6,10,2.7,157,81,2,3.8,12969,314,17.8%,139,60,31,16,3.37,1.45,0.39,0.75,34.3%,9238,5934,863,2441,224,10.4%,0.39,80%,,2,0,0,0,-636,-5,-494,-1,757,10926,39315,22,35236,Sett
892,Nukeduck,MID,7,4,8,3.8,363,32,4,8.8,18284,443,25.1%,40,18,8,8,0.97,0.44,0.19,0.19,9.9%,29494,2727,26717,50,715,33.2%,0.36,75%,,0,1,0,0,-263,14,-159,0,5970,7434,14761,13,21218,Azir
893,UpseT,ADC,5,3,13,6,383,34,26,9.3,18719,454,25.7%,62,16,23,2,1.5,0.39,0.05,0.56,15.3%,29087,26407,2084,596,705,32.7%,0.44,90%,,0,0,0,0,-681,-8,-189,0,8404,2575,23279,13,17420,Miss Fortune
894,Destiny,SUPPORT,1,6,13,2.3,36,0,0,0.9,10106,245,13.9%,102,67,11,25,2.47,1.62,0.61,0.27,25.2%,6206,1552,4058,596,150,7%,0.34,70%,,0,0,0,0,-80,-5,-391,0,848,3369,36429,51,20108,Nautilus
895,Wunder,TOP,3,4,9,3,350,7,1,8.5,15433,374,20.3%,80,23,10,5,1.94,0.56,0.12,0.24,22.4%,21276,2196,18780,300,516,19.4%,0.29,52.2%,1,0,0,0,0,670,12,-106,0,2677,2791,14172,64,20347,Neeko
896,Jankos,JUNGLE,4,3,14,6,188,75,9,4.6,13128,318,17.3%,65,22,21,20,1.58,0.53,0.48,0.51,18.2%,9607,9051,0,556,233,8.8%,0.44,78.3%,1,1,0,0,0,636,5,494,1,1225,10958,19812,16,25953,Pantheon
897,Perkz,MID,5,5,12,3.4,263,10,0,6.4,14786,358,19.5%,37,17,13,9,0.9,0.41,0.22,0.32,10.4%,14243,634,13265,344,345,13%,0.41,73.9%,,1,0,0,0,263,-14,159,0,3596,15507,14907,10,27801,Zilean
898,Caps,ADC,10,5,9,3.8,425,42,5,10.3,22848,554,30.1%,48,13,16,5,1.16,0.32,0.12,0.39,13.4%,56740,52616,1164,2960,1376,51.7%,0.46,82.6%,,2,1,0,0,681,8,189,0,20937,5830,41298,31,22120,Aphelios
899,Mikyx,SUPPORT,1,3,15,5.3,51,2,0,1.2,9665,234,12.7%,127,96,29,36,3.08,2.33,0.87,0.7,35.6%,7815,864,5217,1734,189,7.1%,0.39,69.6%,,0,0,0,0,80,5,391,0,1385,5108,24460,33,19444,Thresh
900,Alphari,TOP,0,3,4,1.3,271,13,0,8.2,11533,350,21.1%,29,13,6,3,0.88,0.39,0.09,0.18,14.1%,16657,16657,0,0,506,23.9%,0.12,36.4%,,0,0,0,0,60,14,172,1,4833,11203,19686,24,29075,Aatrox
901,Xerxe,JUNGLE,3,5,5,1.6,145,80,0,4.4,10024,305,18.4%,49,21,16,10,1.49,0.64,0.3,0.49,23.8%,9358,8117,792,449,284,13.4%,0.24,72.7%,,0,0,0,0,-424,5,-127,-1,0,6750,24836,17,27217,Lee Sin
902,Nukeduck,MID,3,6,6,1.5,273,17,0,8.3,13325,405,24.4%,15,11,2,1,0.46,0.33,0.03,0.06,7.3%,20055,906,18216,933,609,28.8%,0.27,81.8%,,0,0,0,0,-343,19,38,0,760,5578,12768,10,24069,Azir
903,UpseT,ADC,3,2,6,4.5,299,15,0,9.1,12651,384,23.2%,41,13,7,4,1.25,0.39,0.12,0.21,19.9%,15693,14812,881,0,477,22.6%,0.27,81.8%,,1,0,0,0,-387,2,848,1,245,799,13398,14,9697,Aphelios
904,Destiny,SUPPORT,2,5,7,1.8,28,0,0,0.9,7078,215,13%,72,54,9,18,2.19,1.64,0.55,0.27,35%,7827,1751,5068,1008,238,11.2%,0.27,81.8%,,0,0,0,0,500,0,-402,-1,0,1392,27330,49,20913,Nautilus
905,Wunder,TOP,3,2,10,6.5,226,0,4,6.9,12463,379,20.4%,28,18,1,8,0.85,0.55,0.24,0.03,10.6%,12932,1593,11295,44,393,14.9%,0.39,61.9%,,0,0,0,0,-60,-14,-172,-1,5624,10387,38101,51,26993,Maokai
906,Jankos,JUNGLE,1,4,10,2.8,168,75,7,5.1,10937,332,17.9%,72,13,23,11,2.19,0.39,0.33,0.7,27.2%,7151,4739,1901,511,217,8.2%,0.33,52.4%,,0,0,0,0,424,-5,127,1,4886,19213,25727,21,33944,Trundle
907,Perkz,MID,7,2,10,8.5,195,17,4,5.9,12933,393,21.2%,50,22,9,4,1.52,0.67,0.12,0.27,18.9%,31861,1376,28703,1782,968,36.6%,0.52,81%,,1,0,0,0,343,-19,-38,0,4845,4968,12821,16,25480,LeBlanc
908,Caps,ADC,10,2,7,8.5,278,18,6,8.4,16880,513,27.6%,41,13,10,6,1.25,0.39,0.18,0.3,15.5%,30553,23081,6494,978,928,35.1%,0.52,81%,,0,0,0,1,387,-2,-848,-1,10912,1033,14376,7,22708,Ezreal
909,Mikyx,SUPPORT,0,1,17,17,22,0,0,0.7,7923,241,13%,74,50,3,11,2.25,1.52,0.33,0.09,27.9%,4586,497,4089,0,139,5.3%,0.52,81%,,0,0,0,0,-500,0,402,1,304,19916,2763,17,3681,Yuumi
910,Wunder,TOP,3,7,3,0.9,326,,,8.4,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.15,46.2%,,,,,,,,,,,,,,,Kalista
911,Jankos,JUNGLE,1,5,6,1.4,183,,,4.7,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.18,53.8%,,,,,,,,,,,,,,,Jarvan IV
912,Perkz,MID,1,7,3,0.6,241,,,6.2,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.1,30.8%,,,,,,,,,,,,,,,Rumble
913,Caps,ADC,6,9,3,1,284,,,7.3,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.23,69.2%,,,,,,,,,,,,,,,Ziggs
914,Mikyx,SUPPORT,2,6,8,1.7,46,,,1.2,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.26,76.9%,,,,,,,,,,,,,,,Bard
915,Orome,TOP,2,3,13,5,234,,,6,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.39,44.1%,,,,,,,,,,,,,,,Maokai
916,Shad0w,JUNGLE,16,2,5,10.5,243,,,6.3,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.54,61.8%,,,,,,,,,,,,,,,Olaf
917,Humanoid,MID,8,4,6,3.5,325,,,8.4,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,41.2%,,,,,,,,,,,,,,,Qiyana
918,Carzzy,ADC,7,2,7,7,310,,,8,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,41.2%,,,,,,,,,,,,,,,Syndra
919,Kaiser,SUPPORT,1,2,13,7,59,,,1.5,0,0,0%,,,,,,0,0,0,,0,0,0,0,0,0%,0.36,41.2%,,,,,,,,,,,,,,,Sett
920,Orome,TOP,3,3,2,1.7,177,1,4,6.9,10344,406,23.4%,27,11,5,6,1.06,0.43,0.24,0.2,15.2%,10504,6219,264,4021,412,26.7%,0.2,45.5%,,0,0,0,0,2496,-11,225,0,5409,1176,23524,10,19635,Sett
921,Shad0w,JUNGLE,4,3,6,3.3,138,80,8,5.4,9152,359,20.7%,33,10,8,10,1.29,0.39,0.39,0.31,18.5%,12495,876,10802,817,490,31.8%,0.39,90.9%,,1,0,0,0,1992,-5,910,1,347,5192,5767,15,13059,Elise
922,Humanoid,MID,1,3,2,1,223,9,4,8.8,9038,355,20.4%,24,11,4,5,0.94,0.43,0.2,0.16,13.5%,2599,2247,334,18,102,6.6%,0.12,27.3%,,0,0,0,0,-520,-12,-712,0,2397,3761,12929,3,19580,Renekton
923,Carzzy,ADC,2,4,1,0.8,228,9,0,8.9,9578,376,21.7%,15,8,2,5,0.59,0.31,0.2,0.08,8.4%,9923,7430,2333,160,389,25.2%,0.12,27.3%,,0,0,0,0,642,24,1126,2,2561,2510,6909,1,12166,Kai
924,Kaiser,SUPPORT,1,3,5,2,29,0,0,1.1,6117,240,13.8%,79,47,14,19,3.1,1.84,0.75,0.55,44.4%,3789,1376,1902,511,149,9.6%,0.24,54.5%,,0,0,0,0,143,1,-939,-1,486,44,10806,21,8360,Leona
925,Wunder,TOP,1,2,9,5,170,3,0,6.7,8791,345,18.2%,23,11,4,3,0.9,0.43,0.12,0.16,15.2%,11474,3790,7684,0,450,23.9%,0.39,62.5%,,0,0,0,0,-2496,11,-225,0,4098,3500,15485,27,14461,Ornn
926,Jankos,JUNGLE,3,5,8,2.2,101,69,1,4,8408,330,17.4%,21,14,5,8,0.82,0.55,0.31,0.2,13.9%,4868,4079,567,222,191,10.1%,0.43,68.8%,,1,0,0,0,-1992,5,-910,-1,2876,7783,16143,9,23101,Lee Sin
927,Perkz,MID,8,0,4,Perfect KDA,259,24,8,10.2,13271,521,27.5%,28,12,4,6,1.1,0.47,0.24,0.16,18.5%,12862,1040,11822,0,505,26.8%,0.47,75%,,1,1,0,0,520,12,712,0,7170,6080,8782,17,14163,Cassiopeia
928,Caps,ADC,2,3,10,4,212,13,0,8.3,10612,416,22%,22,11,8,4,0.86,0.43,0.16,0.31,14.6%,15132,12249,2883,0,594,31.5%,0.47,75%,,0,0,0,0,-642,-24,-1126,-2,9849,130,4790,0,11412,Ezreal
929,Mikyx,SUPPORT,2,2,14,8,21,0,0,0.8,7117,279,14.8%,57,44,2,14,2.24,1.73,0.55,0.08,37.7%,3730,934,2796,0,146,7.8%,0.63,100%,1,0,0,0,0,-143,-1,939,1,850,10752,1752,14,3179,Yuumi
930,Wunder,TOP,4,5,2,1.2,338,4,15,8.2,16973,414,23.1%,41,19,7,5,1,0.46,0.12,0.17,10.3%,11425,11119,234,72,279,16.1%,0.15,40%,1,1,0,0,0,256,26,150,0,2860,13753,51725,17,33070,Aatrox
931,Jankos,JUNGLE,5,5,4,1.8,191,97,13,4.7,12638,308,17.2%,138,51,28,13,3.37,1.24,0.32,0.68,34.5%,15745,548,13454,1743,384,22.1%,0.22,60%,1,0,0,0,0,-562,-19,-587,-1,1460,8430,16098,19,24805,Elise
932,Perkz,MID,2,2,8,5,311,13,6,7.6,16003,390,21.8%,48,20,8,6,1.17,0.49,0.15,0.2,12%,20447,962,18941,544,499,28.7%,0.24,66.7%,,1,0,0,0,-1385,-40,-557,-1,7177,12144,30788,19,30620,Sylas
933,Caps,ADC,4,4,5,2.3,458,56,14,11.2,18903,461,25.7%,46,15,16,5,1.12,0.37,0.12,0.39,11.5%,16581,15454,891,236,405,23.3%,0.22,60%,,0,0,0,0,-17,30,226,0,3613,3562,25274,4,18511,Aphelios
934,Mikyx,SUPPORT,0,4,10,2.5,38,0,0,0.9,8987,219,12.2%,127,76,14,29,3.1,1.85,0.71,0.34,31.8%,6923,585,4659,1679,169,9.7%,0.24,66.7%,,0,0,0,0,-569,-2,-210,0,2403,3534,27809,25,20797,Thresh
935,Orome,TOP,0,6,7,1.2,267,3,3,6.5,13285,324,17.1%,37,22,6,10,0.9,0.54,0.24,0.15,11.5%,14139,1047,11995,1097,345,14.4%,0.17,35%,,0,0,0,0,-256,-26,-150,0,3520,777,12247,40,20056,Neeko
936,Shad0w,JUNGLE,5,0,7,Perfect KDA,222,81,19,5.4,14331,350,18.5%,54,30,15,18,1.32,0.73,0.44,0.37,16.8%,11201,8702,1936,563,273,11.4%,0.29,60%,,0,0,0,0,562,19,587,1,1265,14039,36430,15,31272,Lee Sin
937,Humanoid,MID,5,3,5,3.3,429,53,17,10.5,20018,488,25.8%,47,19,11,5,1.15,0.46,0.12,0.27,14.6%,27647,22427,1909,3311,675,28.2%,0.24,50%,1,1,0,0,0,1385,40,557,1,8502,3947,16734,5,24887,Lucian
938,Carzzy,ADC,8,2,6,7,349,29,2,8.5,19420,474,25%,34,16,8,3,0.83,0.39,0.07,0.2,10.6%,33171,21111,10453,1607,809,33.9%,0.34,70%,1,0,0,0,0,17,-30,-226,0,4294,2228,11089,5,13942,Ezreal
939,Kaiser,SUPPORT,2,4,8,2.5,62,1,0,1.5,10532,257,13.6%,150,85,30,28,3.66,2.07,0.68,0.73,46.6%,11781,7024,1325,3432,287,12%,0.24,50%,,0,0,0,0,569,2,210,0,1914,1533,34526,24,21454,Sett
940,Wunder,TOP,7,4,10,4.3,325,32,5,9.5,17654,514,25.9%,43,18,4,6,1.25,0.52,0.17,0.12,15.8%,32849,26111,830,5908,956,25.5%,0.49,60.7%,3,0,0,0,0,2135,26,482,0,12106,6232,41337,42,39688,Sett
941,Jankos,JUNGLE,4,3,17,7,163,71,8,4.7,12087,352,17.7%,55,6,17,6,1.6,0.17,0.17,0.49,20.1%,12633,9111,2264,1258,368,9.8%,0.61,75%,,0,0,0,0,626,1,148,0,539,9712,34978,35,27619,Jarvan IV
942,Perkz,MID,9,1,13,22,253,4,16,7.4,15387,448,22.5%,30,13,4,3,0.87,0.38,0.09,0.12,11%,40186,697,38908,581,1169,31.2%,0.64,78.6%,,1,0,0,0,1073,-4,246,1,1778,10158,17752,22,18637,Rumble
943,Caps,ADC,7,6,9,2.7,274,20,0,8,14488,422,21.2%,28,9,4,3,0.81,0.26,0.09,0.12,10.3%,33862,1198,32077,587,985,26.3%,0.47,57.1%,,1,0,0,0,700,10,520,0,4466,4625,11372,47,21555,Syndra
944,Mikyx,SUPPORT,1,3,18,6.3,43,0,0,1.3,8665,252,12.7%,117,56,15,19,3.4,1.63,0.55,0.44,42.9%,9377,844,6776,1757,273,7.3%,0.55,67.9%,,0,0,0,0,26,2,-324,0,93,9481,24036,31,16521,Rakan
945,Orome,TOP,3,6,9,2,195,6,0,5.7,11103,323,19.8%,17,12,3,6,0.49,0.35,0.17,0.09,8.5%,20713,1845,18868,0,603,24%,0.35,70.6%,,0,0,0,0,-2135,-26,-482,0,1771,9827,47871,81,40001,Maokai
946,Shad0w,JUNGLE,2,5,5,1.4,185,121,5,5.4,10077,293,17.9%,30,12,5,13,0.87,0.35,0.38,0.15,15%,14552,11320,2399,833,423,16.9%,0.2,41.2%,,0,0,0,0,-626,-1,-148,0,0,17825,16215,4,32006,Kindred
947,Humanoid,MID,4,3,9,4.3,247,6,0,7.2,12038,350,21.4%,24,18,4,7,0.7,0.52,0.2,0.12,12%,17609,6574,10823,212,512,20.4%,0.38,76.5%,1,0,0,0,0,-1073,4,-246,-1,0,7817,41216,39,33187,Ornn
948,Carzzy,ADC,8,7,4,1.7,297,8,0,8.6,15958,464,28.4%,27,13,6,5,0.79,0.38,0.15,0.17,13.5%,25998,24067,1707,224,756,30.1%,0.35,70.6%,,0,1,0,0,-700,-10,-520,0,2383,2271,16367,17,20601,Aphelios
949,Kaiser,SUPPORT,0,7,8,1.1,31,0,0,0.9,7013,204,12.5%,102,63,12,18,2.97,1.83,0.52,0.35,51%,7414,632,6782,0,216,8.6%,0.23,47.1%,,0,0,0,0,-26,-2,324,0,0,7515,29431,22,29700,Tahm Kench
950,Wunder,TOP,3,6,8,1.8,247,6,0,6.9,11875,331,18.6%,25,17,2,5,0.7,0.47,0.14,0.06,10.5%,18557,1804,15934,819,518,18.1%,0.31,64.7%,,0,0,0,0,-413,-12,-184,0,905,16931,66589,76,42316,Maokai
951,Jankos,JUNGLE,2,5,9,2.2,165,85,6,4.6,10617,296,16.6%,55,25,12,13,1.53,0.7,0.36,0.33,23.2%,8820,7227,811,782,246,8.6%,0.31,64.7%,,0,0,0,0,-30,-3,-59,0,1073,9571,38098,16,33941,Lee Sin
952,Perkz,MID,8,6,5,2.2,316,42,4,8.8,16344,456,25.6%,40,18,9,6,1.12,0.5,0.17,0.25,16.9%,37962,32199,2203,3560,1059,37.1%,0.36,76.5%,,0,0,0,0,1157,44,670,1,5366,2930,22314,8,24111,Lucian
953,Caps,ADC,4,4,8,3,346,30,8,9.7,17034,475,26.7%,17,9,1,3,0.47,0.25,0.08,0.03,7.2%,28565,186,26655,1724,797,27.9%,0.33,70.6%,1,1,0,0,0,-137,13,518,0,5188,4974,10266,31,19766,Syndra
954,Mikyx,SUPPORT,0,6,6,1,49,0,0,1.4,8036,224,12.6%,100,76,15,24,2.79,2.12,0.67,0.42,42.2%,8481,3479,626,4376,237,8.3%,0.17,35.3%,,0,0,0,0,-15,-1,-118,0,4652,1549,30040,14,20322,Sett
955,Orome,TOP,6,0,10,Perfect KDA,278,16,5,7.8,15608,435,22.1%,33,14,4,5,0.92,0.39,0.14,0.11,11.3%,24440,23723,717,0,682,22.4%,0.45,59.3%,,0,0,0,0,413,12,184,0,3829,24920,39208,26,35433,Aatrox
956,Shad0w,JUNGLE,7,1,12,19,176,89,5,4.9,13616,380,19.3%,52,15,16,14,1.45,0.42,0.39,0.45,17.8%,23354,1391,19556,2407,651,21.4%,0.53,70.4%,,1,0,0,0,30,3,59,0,1194,17420,18148,34,29189,Gragas
957,Humanoid,MID,0,6,13,2.2,175,0,0,4.9,10876,303,15.4%,33,14,6,6,0.92,0.39,0.17,0.17,11.3%,12169,1988,10181,0,339,11.2%,0.36,48.1%,,0,0,0,0,-1157,-44,-670,-1,1691,3762,45506,53,25574,Nautilus
958,Carzzy,ADC,14,3,7,7,347,18,0,9.7,21203,591,30%,66,18,17,10,1.84,0.5,0.28,0.47,22.6%,41877,39577,1660,640,1168,38.4%,0.59,77.8%,,3,0,0,0,137,-13,-518,0,14321,5160,29607,23,16892,Kalista
959,Kaiser,SUPPORT,0,7,18,2.6,40,0,0,1.1,9377,262,13.3%,108,54,19,19,3.01,1.51,0.53,0.53,37%,7172,1932,4081,1159,200,6.6%,0.5,66.7%,,0,0,0,0,15,1,118,0,1495,2943,35421,38,23141,Leona
960,Wunder,TOP,4,1,12,16,144,0,0,5.7,8949,354,17.2%,28,12,0,2,1.11,0.48,0.08,0,20.4%,10075,2029,8046,0,399,14.4%,0.63,43.2%,,1,0,0,0,-1127,-37,102,0,467,6771,8846,19,13869,Bard
961,Jankos,JUNGLE,13,0,7,Perfect KDA,180,85,14,7.1,12835,508,24.7%,38,9,5,1,1.5,0.36,0.04,0.2,27.7%,18878,1203,17509,166,748,26.9%,0.79,54.1%,2,1,1,0,0,729,12,912,1,4615,13175,14716,3,22156,Shyvana
962,Perkz,MID,9,5,1,2,149,12,4,5.9,9395,372,18.1%,10,5,2,1,0.4,0.2,0.04,0.08,7.3%,12861,11759,310,792,509,18.3%,0.4,27%,3,1,0,0,0,586,16,513,0,667,2603,7863,3,15803,Zed
963,Caps,ADC,7,1,13,20,173,4,7,6.9,12090,479,23.3%,13,7,1,0,0.51,0.28,0,0.04,9.5%,14204,14204,0,0,563,20.3%,0.79,54.1%,3,0,0,0,0,1867,29,1846,1,4668,12660,18195,11,23355,Aatrox
964,Mikyx,SUPPORT,4,2,18,11,33,2,4,1.3,8695,344,16.7%,48,24,7,4,1.9,0.95,0.16,0.28,35%,14104,1398,11289,1417,559,20.1%,0.87,59.5%,1,1,0,0,0,1811,3,1721,2,3304,5761,6344,35,15440,Swain
965,Dan Dan,TOP,2,6,2,0.7,202,7,0,8,9933,393,26.6%,11,9,1,6,0.44,0.36,0.24,0.04,13.6%,20070,1142,17155,1773,795,32%,0.16,44.4%,,0,0,0,0,1127,37,-102,0,3438,139,5905,43,14496,Teemo
966,Razork,JUNGLE,1,9,6,0.8,131,85,8,5.2,7736,306,20.7%,15,4,0,2,0.59,0.16,0.08,0,18.5%,10714,2467,6257,1990,424,17.1%,0.28,77.8%,,0,0,0,0,-729,-12,-912,-1,0,6671,19651,24,32120,Ornn
967,Febiven,MID,1,6,3,0.7,128,0,0,5.1,6381,253,17.1%,20,8,0,6,0.79,0.32,0.24,0,24.7%,9325,819,8083,423,369,14.9%,0.16,44.4%,,0,0,0,0,-586,-16,-513,0,0,1077,5715,12,17377,LeBlanc
968,Bvoy,ADC,3,9,4,0.8,107,0,0,4.2,7093,281,19%,14,8,1,0,0.55,0.32,0,0.04,17.3%,11010,10413,205,392,436,17.6%,0.28,77.8%,,0,0,0,0,-1867,-29,-1846,-1,0,644,5731,19,16574,Quinn
969,Denyk,SUPPORT,2,7,7,1.3,52,0,0,2.1,6203,246,16.6%,21,14,3,7,0.83,0.55,0.28,0.12,25.9%,11526,743,9554,1229,456,18.4%,0.36,100%,,0,0,0,0,-1811,-3,-1721,-2,0,0,3234,22,10615,Annie
970,Wunder,TOP,4,4,12,4,353,19,5,9.8,17653,488,25.2%,55,17,11,5,1.52,0.47,0.14,0.3,18.3%,21695,19093,1733,869,600,24.6%,0.44,64%,,0,0,0,0,3136,60,2055,2,14487,4467,29216,14,20913,Kalista
971,Jankos,JUNGLE,6,3,10,5.3,177,99,10,4.9,12607,349,18%,102,38,22,10,2.82,1.05,0.28,0.61,34%,13811,10096,0,3715,382,15.7%,0.44,64%,,1,0,0,0,-50,1,-392,-1,1699,14791,20037,17,31196,Rek
972,Perkz,MID,9,3,6,5,319,15,12,8.8,17043,471,24.3%,40,15,7,4,1.11,0.41,0.11,0.19,13.3%,23448,6226,16828,394,648,26.6%,0.41,60%,,2,0,0,0,1303,4,508,0,2029,11878,16486,4,27308,Akali
973,Mikyx,ADC,4,5,7,2.2,198,11,2,5.5,12032,333,17.2%,42,10,11,7,1.16,0.28,0.19,0.3,14%,12759,167,12559,33,353,14.5%,0.3,44%,,0,0,0,0,-1436,-31,-1144,-1,1456,1937,22684,24,24284,Galio
974,Caps,SUPPORT,2,3,19,7,54,5,5,1.5,10774,298,15.4%,61,26,10,4,1.69,0.72,0.11,0.28,20.3%,16529,16071,0,458,457,18.7%,0.58,84%,,0,0,0,0,219,-2,596,1,3772,14766,7401,34,17707,Senna
975,Odoamne,TOP,5,5,7,2.4,252,7,0,7,13379,370,21.6%,24,15,7,6,0.66,0.41,0.17,0.19,10.4%,16907,14638,2269,0,467,20.8%,0.33,66.7%,,1,0,0,0,-3136,-60,-2055,-2,1223,4556,16203,5,20007,Jayce
976,Gilius,JUNGLE,4,7,5,1.3,149,84,3,4.1,10545,292,17%,43,24,11,13,1.19,0.66,0.36,0.3,18.6%,7919,7383,318,218,219,9.8%,0.25,50%,1,0,0,0,0,50,-1,392,1,404,8517,31310,14,36356,Lee Sin
977,Abbedagge,MID,4,4,6,2.5,349,35,0,9.6,15911,440,25.7%,45,22,9,12,1.24,0.61,0.33,0.25,19.5%,20662,309,20353,0,571,25.4%,0.28,55.6%,,0,1,0,0,-1303,-4,-508,0,1763,2319,10085,9,18999,Azir
978,Innaxe,ADC,5,4,8,3.3,328,19,0,9.1,14817,410,23.9%,30,14,3,5,0.83,0.39,0.14,0.08,13%,27190,1267,25689,234,752,33.5%,0.36,72.2%,,0,0,0,0,1436,31,1144,1,6451,1817,6016,18,15572,Ziggs
979,Dreams,SUPPORT,0,5,9,1.8,25,0,0,0.7,7225,200,11.7%,89,57,6,18,2.46,1.58,0.5,0.17,38.5%,8532,1987,5063,1482,236,10.5%,0.25,50%,,0,0,0,0,-219,2,-596,-1,767,1233,27891,58,16718,Nautilus
980,Wunder,TOP,4,4,11,3.8,173,0,0,7.9,10818,491,22.2%,23,10,2,1,1.04,0.45,0.05,0.09,15.6%,13495,1450,11820,225,612,22.6%,0.68,53.6%,,1,0,0,0,3262,53,1586,2,8353,1053,4988,45,10599,Neeko
981,Jankos,JUNGLE,12,0,9,Perfect KDA,111,53,9,5,11152,506,22.9%,33,10,6,8,1.5,0.45,0.36,0.27,22.4%,12460,11189,630,641,566,20.9%,0.95,75%,,2,0,0,0,1397,5,528,1,3027,6028,8125,17,14682,Pantheon
982,Perkz,MID,7,2,4,5.5,144,0,0,6.5,9222,419,18.9%,26,9,6,5,1.18,0.41,0.23,0.27,17.7%,7172,6307,423,442,326,12%,0.5,39.3%,1,1,0,0,0,1080,-8,573,0,1231,2709,4995,8,11395,Qiyana
983,Caps,ADC,3,3,17,6.7,164,8,4,7.4,10422,473,21.4%,3,2,0,1,0.14,0.09,0.05,0,2%,20178,816,19162,200,916,33.8%,0.91,71.4%,,0,0,0,0,335,-13,-206,0,33242,0,3328,10,10262,Ziggs
984,Mikyx,SUPPORT,2,3,16,6,39,0,0,1.8,7161,325,14.7%,62,26,12,10,2.81,1.18,0.45,0.54,42.2%,6450,1507,4943,0,293,10.8%,0.82,64.3%,,0,0,0,0,1172,11,903,1,865,4182,6578,21,10525,Bard
985,Expect,TOP,2,6,2,0.7,115,0,0,5.2,6340,288,18.1%,20,8,3,4,0.91,0.36,0.18,0.14,17.2%,4461,772,3689,0,202,11.2%,0.18,33.3%,,0,0,0,0,-3262,-53,-1586,-2,622,1066,11997,9,14535,Malphite
986,Caedrel,JUNGLE,6,6,2,1.3,115,72,0,5.2,8644,392,24.7%,24,11,4,6,1.09,0.5,0.27,0.18,20.7%,5867,5390,398,79,266,14.7%,0.36,66.7%,,0,0,0,0,-1397,-5,-528,-1,212,6840,8493,110,18873,Nocturne
